Date,Visitor,G,Home,G,,Att.,LOG,Notes
11/11/2024,Los Angeles Kings,1,Calgary Flames,3,,16920,2:27,
11/11/2024,Nashville Predators,2,Colorado Avalanche,3,OT,18016,2:30,
11/11/2024,San Jose Sharks,3,Philadelphia Flyers,4,SO,18706,2:44,
11/11/2024,Dallas Stars,7,Pittsburgh Penguins,1,,16526,2:19,
11/11/2024,Carolina Hurricanes,5,Vegas Golden Knights,2,,17908,2:32,
11/12/2024,New York Islanders,3,Edmonton Oilers,4,OT,18347,2:32,
11/12/2024,New Jersey Devils,4,Florida Panthers,1,,18677,2:29,
11/12/2024,Winnipeg Jets,6,New York Rangers,3,,18006,2:25,
11/12/2024,Columbus Blue Jackets,2,Seattle Kraken,5,,17151,2:24,
11/12/2024,Boston Bruins,3,St. Louis Blues,2,,18096,2:27,
11/12/2024,Ottawa Senators,3,Toronto Maple Leafs,0,,18648,2:33,
11/12/2024,Calgary Flames,1,Vancouver Canucks,3,,18781,2:29,
11/13/2024,Vegas Golden Knights,3,Anaheim Ducks,2,,13153,2:25,
11/13/2024,Los Angeles Kings,2,Colorado Avalanche,4,,18059,2:28,
11/13/2024,Detroit Red Wings,3,Pittsburgh Penguins,2,OT,15191,2:27,
11/13/2024,Carolina Hurricanes,1,Utah Hockey Club,4,,11131,2:41,
11/13/2024,Toronto Maple Leafs,4,Washington Capitals,3,OT,18573,2:49,
11/14/2024,St. Louis Blues,3,Buffalo Sabres,4,OT,13943,2:38,
11/14/2024,Boston Bruins,2,Dallas Stars,7,,18532,2:33,
11/14/2024,Nashville Predators,2,Edmonton Oilers,3,OT,18347,2:33,
11/14/2024,New Jersey Devils,6,Florida Panthers,2,,18573,2:31,
11/14/2024,Montreal Canadiens,0,Minnesota Wild,3,,17012,2:25,
11/14/2024,San Jose Sharks,2,New York Rangers,3,,18006,2:26,
11/14/2024,Philadelphia Flyers,5,Ottawa Senators,4,OT,17162,2:34,
11/14/2024,Chicago Blackhawks,1,Seattle Kraken,3,,17151,2:26,
11/14/2024,Winnipeg Jets,1,Tampa Bay Lightning,4,,19092,2:30,
11/14/2024,New York Islanders,5,Vancouver Canucks,2,,18728,2:34,
11/15/2024,Detroit Red Wings,4,Anaheim Ducks,6,,14154,2:29,
11/15/2024,Pittsburgh Penguins,2,Columbus Blue Jackets,6,,18348,2:26,
11/15/2024,Nashville Predators,0,Calgary Flames,2,,17900,2:44,
11/15/2024,Washington Capitals,5,Colorado Avalanche,2,,18083,2:32,
11/15/2024,Vegas Golden Knights,4,Utah Hockey Club,2,,11131,2:35,
11/16/2024,St. Louis Blues,3,Boston Bruins,2,OT,17850,2:39,
11/16/2024,Ottawa Senators,0,Carolina Hurricanes,4,,18808,2:30,
11/16/2024,Winnipeg Jets,0,Florida Panthers,5,,19157,2:27,
11/16/2024,Detroit Red Wings,1,Los Angeles Kings,4,,18145,2:28,
11/16/2024,Dallas Stars,2,Minnesota Wild,1,,18143,2:23,
11/16/2024,Columbus Blue Jackets,1,Montreal Canadiens,5,,21105,2:24,
11/16/2024,Buffalo Sabres,2,Philadelphia Flyers,5,,18793,2:38,
11/16/2024,San Jose Sharks,3,Pittsburgh Penguins,4,SO,18194,2:44,
11/16/2024,New York Islanders,2,Seattle Kraken,3,,17151,2:29,
11/16/2024,New Jersey Devils,0,Tampa Bay Lightning,4,,19092,2:33,
11/16/2024,Edmonton Oilers,3,Toronto Maple Leafs,4,OT,19301,2:25,
11/16/2024,Chicago Blackhawks,1,Vancouver Canucks,4,,18620,2:22,
11/17/2024,St. Louis Blues,1,Carolina Hurricanes,4,,18797,2:26,
11/17/2024,New York Rangers,2,Seattle Kraken,0,,17151,2:17,
11/17/2024,Nashville Predators,5,Vancouver Canucks,3,,18587,2:20,
11/17/2024,Washington Capitals,5,Vegas Golden Knights,2,,17877,2:39,
11/18/2024,Columbus Blue Jackets,5,Boston Bruins,1,,17850,2:32,
11/18/2024,Anaheim Ducks,4,Dallas Stars,2,,18532,2:29,
11/18/2024,Edmonton Oilers,0,Montreal Canadiens,3,,21105,2:19,
11/18/2024,Colorado Avalanche,3,Philadelphia Flyers,2,,18930,2:37,
11/18/2024,Detroit Red Wings,4,San Jose Sharks,5,OT,11180,2:31,
11/18/2024,Washington Capitals,6,Utah Hockey Club,2,,11131,2:40,
11/19/2024,New York Islanders,1,Calgary Flames,2,SO,16565,2:39,
11/19/2024,Anaheim Ducks,3,Chicago Blackhawks,2,,17712,2:22,
11/19/2024,Edmonton Oilers,5,Ottawa Senators,2,,18676,2:30,
11/19/2024,Tampa Bay Lightning,3,Pittsburgh Penguins,2,OT,16065,2:26,
11/19/2024,Minnesota Wild,4,St. Louis Blues,2,,16463,2:30,
11/19/2024,New York Rangers,4,Vancouver Canucks,3,,18688,2:34,
11/19/2024,Florida Panthers,3,Winnipeg Jets,6,,15225,2:29,
11/20/2024,San Jose Sharks,2,Dallas Stars,5,,18532,2:28,
11/20/2024,Buffalo Sabres,1,Los Angeles Kings,0,,16778,2:24,
11/20/2024,Carolina Hurricanes,4,Philadelphia Flyers,1,,17535,2:24,
11/20/2024,Nashville Predators,0,Seattle Kraken,3,,17151,2:31,
11/20/2024,Vegas Golden Knights,0,Toronto Maple Leafs,3,,18853,2:32,
11/21/2024,Utah Hockey Club,0,Boston Bruins,1,,17850,2:34,
11/21/2024,Tampa Bay Lightning,6,Columbus Blue Jackets,7,OT,16260,2:32,
11/21/2024,New York Rangers,2,Calgary Flames,3,,17033,2:33,
11/21/2024,Florida Panthers,1,Chicago Blackhawks,3,,19107,2:25,
11/21/2024,New York Islanders,1,Detroit Red Wings,2,,19013,2:21,
